Human Prompt,Cypher Query
"Which classes have polymorphic serialization enabled?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'SerializersModule' AND m.code CONTAINS 'polymorphic' RETURN c.name;"
"Get all properties with '@SerialName' annotation.","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.code CONTAINS '@SerialName' RETURN c.name, f.name;"
"List all enum classes that are serialized by name.","MATCH (c:Class) WHERE c.signature CONTAINS 'enum class' AND c.code CONTAINS '@Serializable' RETURN c.name;"
"Find all usages of 'protobuf' serialization.","MATCH (c:Class) WHERE c.code CONTAINS 'ProtoBuf' RETURN c.name;"
"Show me all 'build.gradle.kts' files.","MATCH (f:File {path: 'build.gradle.kts'}) RETURN f.path;"
"Which plugins are used in the kts build script?","MATCH (f:File {path: 'build.gradle.kts'}) WHERE f.code CONTAINS 'plugins {' RETURN f.code;"
"Get all dependencies from a kts build script.","MATCH (f:File {path: 'build.gradle.kts'}) WHERE f.code CONTAINS 'implementation(' RETURN f.code;"
"List all 'vars' that could be 'vals'. (Heuristic: not reassigned)","MATCH (m:Method)-[:DECLARES_VAR]->(v) WHERE NOT (m)-[:REASSIGNS_VAR]->(v) RETURN m.name, v.name;"
"Find all empty code blocks (e.g., empty methods, empty try/catch).","MATCH (m:Method) WHERE m.code CONTAINS '{}' OR m.code CONTAINS 'catch (Exception e) {}' RETURN m.name;"
"Show me methods with a high number of nested callbacks (callback hell).","MATCH (m:Method) WHERE size(split(m.code, '->')) > 3 RETURN m.name;"
"Which classes have a low cohesion (methods operate on different sets of fields)? (Conceptual)","MATCH (c:Class)-[:HAS_METHOD]->(m1), (c)-[:HAS_METHOD]->(m2), (c)-[:HAS_FIELD]->(f) WHERE (m1)-[:ACCESSES]->(f) AND NOT (m2)-[:ACCESSES]->(f) RETURN c.name;"
"Get all magic numbers (numeric literals not assigned to a constant).","MATCH (m:Method) WHERE m.code MATCHES '.*[=\\s(][0-9]{2,}[;\\s)].*' RETURN m.name;"
"List all hardcoded strings that look like file paths or URLs.","MATCH (m:Method) WHERE m.code CONTAINS '\"http://' OR m.code CONTAINS '\"C:\\\\' RETURN m.name;"
"Find all duplicated code blocks. (Conceptual)","MATCH (m1:Method), (m2:Method) WHERE m1.code = m2.code AND m1 <> m2 RETURN m1.name, m2.name;"
"Show me classes that are tightly coupled. (High number of inter-class calls)","MATCH (c1:Class)-[:HAS_METHOD]->(m1)-[:CALLS]->(m2)<-[:HAS_METHOD]-(c2:Class) WHERE c1 <> c2 WITH c1, c2, count(*) as calls RETURN c1.name, c2.name, calls ORDER BY calls DESC LIMIT 10;"
"Which methods are too long (over 100 lines)?","MATCH (m:Method) WHERE size(split(m.code, '\n')) > 100 RETURN m.name;"
"Get all commented-out code blocks.","MATCH (m:Method) WHERE m.code CONTAINS '//' AND (m.code CONTAINS ';' OR m.code CONTAINS '{') RETURN m.name;"
"List all dependencies that are outdated. (Conceptual)","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '1.0' RETURN 'Check dependencies in pom.xml';"
"Find all transitive dependencies. (Conceptual)","MATCH (a)-[:DEPENDS_ON]->(b)-[:DEPENDS_ON]->(c) RETURN a.name, c.name;"
"Show me the dependency tree for 'my-library'. (Conceptual)","MATCH p=(:Library {name: 'my-library'})-[:DEPENDS_ON*]->(dep) RETURN p;"
"Which libraries have security vulnerabilities? (Conceptual)","MATCH (l:Library) WHERE l.vulnerabilities > 0 RETURN l.name, l.vulnerabilities;"
"Get all libraries with a 'GPL' license.","MATCH (l:Library {license: 'GPL'}) RETURN l.name;"
"List all dependencies not used in the code. (Conceptual)","MATCH (d:Dependency) WHERE NOT ()-[:USES]->(d) RETURN d.name;"
"Find all version conflicts in dependencies. (Conceptual)","MATCH (a)-[:DEPENDS_ON]->(d {version: '1.0'}), (b)-[:DEPENDS_ON]->(d {version: '2.0'}) RETURN d.name;"
"Show me the build time for each module. (Conceptual)","MATCH (m:Module) RETURN m.name, m.buildTime;"
"Which tests are flaky (pass and fail intermittently)? (Conceptual)","MATCH (t:Test) WHERE t.flaky = true RETURN t.name;"
"Get the code coverage for 'UserService'. (Conceptual)","MATCH (c:Class {name: 'UserService'}) RETURN c.codeCoverage;"
"List all methods with low code coverage. (Conceptual)","MATCH (m:Method) WHERE m.codeCoverage < 0.7 RETURN m.name, m.codeCoverage;"
"Find the technical debt score for the project. (Conceptual)","MATCH (p:Project) RETURN p.technicalDebtScore;"
"Show me all 'code smells' detected. (Conceptual)","MATCH (cs:CodeSmell) RETURN cs.type, cs.location;"
"Which files have the most git commits? (Conceptual)","MATCH (f:File) RETURN f.path, f.commitCount ORDER BY f.commitCount DESC LIMIT 10;"
"Get the last author who modified 'DatabaseConnection.java'. (Conceptual)","MATCH (f:File {path: 'DatabaseConnection.java'}) RETURN f.lastAuthor;"
"List all bugs associated with 'PaymentService'. (Conceptual)","MATCH (:Class {name: 'PaymentService'})-[:HAS_BUG]->(b:Bug) RETURN b.id, b.summary;"
"Find the developer who has fixed the most bugs. (Conceptual)","MATCH (d:Developer)-[:FIXED]->(b:Bug) WITH d, count(b) as bugCount RETURN d.name, bugCount ORDER BY bugCount DESC LIMIT 1;"
"Show me the git history for the 'pom.xml' file. (Conceptual)","MATCH p=(:File {path: 'pom.xml'})<-[:MODIFIED_IN]-(c:Commit) RETURN p;"
"Which commit introduced a bug in 'UserAuthentication'? (Conceptual)","MATCH (:Class {name: 'UserAuthentication'})-[:HAS_BUG]->(b)-[:INTRODUCED_IN]->(c:Commit) RETURN c.hash;"
"Get all feature flags in the codebase.","MATCH (m:Method) WHERE m.code CONTAINS 'FeatureFlag.isEnabled' RETURN m.name;"
"List all A/B tests currently active.","MATCH (c:Class) WHERE c.name CONTAINS 'ABTest' RETURN c.name;"
"Find all API endpoints that are behind a feature flag.","MATCH (m:Method) WHERE m.code CONTAINS '@GetMapping' AND m.code CONTAINS 'if (featureFlag' RETURN m.signature;"
"Show me the configuration for the 'database' feature flag. (Conceptual)","MATCH (ff:FeatureFlag {name: 'database'}) RETURN ff.configuration;"
"Which users have access to the 'beta' feature? (Conceptual)","MATCH (u:User)-[:HAS_ACCESS_TO]->(ff:FeatureFlag {name: 'beta'}) RETURN u.name;"
"Get all CI/CD pipeline configuration files.","MATCH (f:File) WHERE f.path = '.gitlab-ci.yml' OR f.path = 'Jenkinsfile' RETURN f.path;"
"List all stages in the deployment pipeline.","MATCH (f:File {path:'.gitlab-ci.yml'}) WHERE f.code CONTAINS 'stages:' RETURN f.code;"
"Show me the 'build' job configuration.","MATCH (f:File {path:'.gitlab-ci.yml'}) WHERE f.code CONTAINS 'build_job:' RETURN f.code;"
"Which script is executed for the 'test' stage?","MATCH (f:File {path:'.gitlab-ci.yml'}) WHERE f.code CONTAINS 'stage: test' AND f.code CONTAINS 'script:' RETURN f.code;"
"Get all docker images used in the pipeline.","MATCH (f:File {path:'.gitlab-ci.yml'}) WHERE f.code CONTAINS 'image:' RETURN f.code;"
"List all microservices in this repository. (Conceptual)","MATCH (m:Microservice) RETURN m.name;"
"Show me the API contract for the 'user-service'. (Conceptual)","MATCH (m:Microservice {name: 'user-service'}) RETURN m.apiContract;"
"Which services does the 'order-service' communicate with? (Conceptual)","MATCH (:Microservice {name: 'order-service'})-[:COMMUNICATES_WITH]->(s:Microservice) RETURN s.name;"
"Find all asynchronous communication patterns (e.g., Kafka, RabbitMQ). (Conceptual)","MATCH (a)-[r:COMMUNICATES_WITH {protocol: 'kafka'}]->(b) RETURN a.name, b.name;"
"Get the owner of the 'payment-service'. (Conceptual)","MATCH (s:Microservice {name: 'payment-service'}) RETURN s.owner;"
"List all database schemas. (Conceptual)","MATCH (s:Schema) RETURN s.name;"
"Show me the tables in the 'auth' schema. (Conceptual)","MATCH (:Schema {name: 'auth'})-[:HAS_TABLE]->(t:Table) RETURN t.name;"
"Get all columns for the 'users' table. (Conceptual)","MATCH (:Table {name: 'users'})-[:HAS_COLUMN]->(c:Column) RETURN c.name, c.dataType;"
"Which tables have a foreign key to the 'accounts' table? (Conceptual)","MATCH (t1:Table)-[:HAS_FOREIGN_KEY_TO]->(:Table {name: 'accounts'}) RETURN t1.name;"
"Find all indexes on the 'transactions' table. (Conceptual)","MATCH (:Table {name: 'transactions'})-[:HAS_INDEX]->(i:Index) RETURN i.name;"
"List all stored procedures that access the 'customers' table. (Conceptual)","MATCH (sp:StoredProcedure)-[:ACCESSES]->(:Table {name: 'customers'}) RETURN sp.name;"
"Show me triggers on the 'inventory' table. (Conceptual)","MATCH (:Table {name: 'inventory'})-[:HAS_TRIGGER]->(t:Trigger) RETURN t.name;"
"Which columns are primary keys? (Conceptual)","MATCH (c:Column {isPrimaryKey: true}) RETURN c.name;"
"Get all non-nullable columns in the 'products' table. (Conceptual)","MATCH (:Table {name: 'products'})-[:HAS_COLUMN]->(c:Column) WHERE c.isNullable = false RETURN c.name;"
"Find all tables without a primary key. (Conceptual)","MATCH (t:Table) WHERE NOT (t)-[:HAS_COLUMN]->({isPrimaryKey: true}) RETURN t.name;"
"List all cloud resources defined in Terraform/CloudFormation. (Conceptual)","MATCH (r:CloudResource) RETURN r.type, r.name;"
"Show me all S3 buckets. (Conceptual)","MATCH (r:CloudResource {type: 'S3Bucket'}) RETURN r.name;"
"Get all EC2 instances with their instance type. (Conceptual)","MATCH (r:CloudResource {type: 'EC2Instance'}) RETURN r.name, r.instanceType;"
"Which security groups are attached to the 'prod-db' instance? (Conceptual)","MATCH (:CloudResource {name: 'prod-db'})-[:USES_SECURITY_GROUP]->(sg) RETURN sg.name;"
"Find all public-facing resources (e.g., public S3 buckets, open security groups). (Conceptual)","MATCH (r:CloudResource) WHERE r.isPublic = true RETURN r.type, r.name;"
"List all Lambda functions. (Conceptual)","MATCH (r:CloudResource {type: 'LambdaFunction'}) RETURN r.name;"
"Show me the IAM roles and their policies. (Conceptual)","MATCH (r:IAMRole)-[:HAS_POLICY]->(p:IAMPolicy) RETURN r.name, p.name;"
"Which resources are in the 'us-east-1' region? (Conceptual)","MATCH (r:CloudResource {region: 'us-east-1'}) RETURN r.name;"
"Get the VPC configuration for the 'main-app'. (Conceptual)","MATCH (:CloudResource {name: 'main-app'})-[:IN_VPC]->(v:VPC) RETURN v.name, v.cidrBlock;"
"Find all unused IAM roles. (Conceptual)","MATCH (r:IAMRole) WHERE NOT ()-[:ASSUMES_ROLE]->(r) RETURN r.name;"
"Show me all classes in file X.","MATCH (f:File {path:'X'})-[:CONTAINS_TYPE]->(c:Class) RETURN c.name"
"Get me the file path for class Y.","MATCH (c:Class {name:'Y'}) RETURN c.file_path"
"List the interfaces implemented by Z.","MATCH (c:Class {name:'Z'})-[:IMPLEMENTS_INTERFACE]->(i:Interface) RETURN i.name"
"How many methods are there in class A?","MATCH (c:Class {name:'A'})-[:HAS_METHOD]->(m) RETURN count(m)"
"Show me all the 'public static' methods.","MATCH (m:Method) WHERE m.signature CONTAINS 'public static' RETURN m.signature"
"Which classes can be found in file B?","MATCH (f:File {path:'B'})-[:CONTAINS_TYPE]->(c:Class) RETURN c.name"
"Get the code of method C.","MATCH (m:Method {name:'C'}) RETURN m.code"
"What are the properties of class D?","MATCH (n:Class {name:'D'}) RETURN properties(n)"
"Find unused methods.","MATCH (m:Method) WHERE NOT ()-[:CALLS]->(m) RETURN m.name, m.signature"
"List all classes that extend class E.","MATCH (c:Class {extension:'E'}) RETURN c.name"
"what's the package for class F?","MATCH (c:Class {name:'F'}) RETURN c.package"
"Show me methods created in the last 24 hours.","MATCH (m:Method) WHERE datetime(m.createdAt) > datetime() - duration({days: 1}) RETURN m.name"
"Which methods in class G call methods in class H?","MATCH (g:Class {name:'G'})-[:HAS_METHOD]->(m1:Method)-[:CALLS]->(m2:Method)<-[:HAS_METHOD]-(h:Class {name:'H'}) RETURN m1.name, m2.name"
"What's the class with the most methods?","MATCH (c:Class)-[:HAS_METHOD]->(m) WITH c, count(m) AS methodCount RETURN c.name ORDER BY methodCount DESC LIMIT 1"
"What fields does class I have?","MATCH (c:Class {name:'I'})-[:HAS_FIELD]->(f:Field) RETURN f.name"
"List every method that class J calls.","MATCH (j:Class {name:'J'})-[:HAS_METHOD]->(source)-[:CALLS]->(target) RETURN DISTINCT target.name"
"Who calls method K?","MATCH (caller:Method)-[:CALLS]->(:Method {name:'K'}) RETURN caller.name"
"Find all classes in package L.","MATCH (p:Package {name:'L'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the signature of method M in class N.","MATCH (n:Class {name:'N'})-[:HAS_METHOD]->(m:Method {name:'M'}) RETURN m.signature"
"What parameters does method O take?","MATCH (m:Method {name:'O'})-[:HAS_PARAMETER]->(p:Class) RETURN p.name"
"Show me all enums.","MATCH (e:Enum) RETURN e.name"
"Which file contains interface P?","MATCH (f:File)-[:CONTAINS_TYPE]->(i:Interface {name:'P'}) RETURN f.path"
"List all methods that return type Q.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Q' RETURN m.name"
"Find classes that import class R.","MATCH (c:Class)-[:IMPORTS]->(r:Class {name:'R'}) RETURN c.name"
"How many packages are there?","MATCH (p:Package) RETURN count(p)"
"Show me the methods of class S.","MATCH (s:Class {name:'S'})-[:HAS_METHOD]->(m) RETURN m.signature"
"What other methods call method T?","MATCH (caller:Method)-[:CALLS]->(:Method {name:'T'}) RETURN caller.name"
"What are the fields for class U?","MATCH (u:Class {name:'U'})-[:HAS_FIELD]->(f:Field) RETURN f.name"
"List classes in package V.","MATCH (p:Package {name:'V'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for method W.","MATCH (m:Method {name:'W'}) RETURN m.code"
"Which classes implement interface X?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'X'}) RETURN c.name"
"Find all methods in the 'security' package.","MATCH (p:Package {name:'security'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) RETURN m.name"
"Count the number of methods calling Y.","MATCH (caller:Method)-[:CALLS]->(callee:Method {name:'Y'}) RETURN count(caller)"
"Show me the path for interface Z.","MATCH (i:Interface {name:'Z'}) RETURN i.file_path"
"List all methods that take a String as a parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(String ' RETURN m.name"
"Find the class named 'Customer'.","MATCH (c:Class {name:'Customer'}) RETURN c.name"
"What does method 'initialize' call?","MATCH (m:Method {name:'initialize'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'sendNotification'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'sendNotification'}) RETURN caller.name"
"Get all fields of the 'Order' class.","MATCH (c:Class {name:'Order'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'repository' package?","MATCH (p:Package {name:'repository'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show me the signature of 'deleteById' in 'CrudRepository'.","MATCH (i:Interface {name:'CrudRepository'})-[:HAS_METHOD]->(m:Method {name:'deleteById'}) RETURN m.signature"
"List methods that have a 'void' return type.","MATCH (m:Method) WHERE m.signature CONTAINS ' void ' RETURN m.name"
"Which classes have no fields?","MATCH (c:Class) WHERE NOT (c)-[:HAS_FIELD]->() RETURN c.name"
"Find all methods whose name contains 'util'.","MATCH (m:Method) WHERE m.name CONTAINS 'util' RETURN m.name"
"Get the file path for the 'MainApp' class.","MATCH (c:Class {name:'MainApp'}) RETURN c.file_path"
"What does the constructor for 'HttpClient' call?","MATCH (m:Method {name:'HttpClient'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'process'?","MATCH (m:Method {name:'process'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'DataProcessor'.","MATCH (c:Class {name:'DataProcessor'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'getInstance'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'getInstance'}) RETURN caller.name"
"List the fields for 'RequestData' class.","MATCH (c:Class {name:'RequestData'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the project.","MATCH (i:Interface) RETURN i.name"
"Get the code for 'parse' method.","MATCH (m:Method {name:'parse'}) RETURN m.code"
"Which classes in 'com.example.model' have more than 5 fields?","MATCH (p:Package {name:'com.example.model'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f) WITH c, count(f) as fieldCount WHERE fieldCount > 5 RETURN c.name"
"Show me all methods that are 'synchronized'.","MATCH (m:Method) WHERE m.signature CONTAINS 'synchronized' RETURN m.name"
"What is the parent class of 'MyService'?","MATCH (c:Class {name:'MyService'}) RETURN c.extension"
"Find method calls between 'Service' and 'DAO' layers.","MATCH (s:Class)-[:HAS_METHOD]->(sm:Method)-[:CALLS]->(dm:Method)<-[:HAS_METHOD]-(d:Class) WHERE s.name ENDS WITH 'Service' AND d.name ENDS WITH 'Dao' RETURN s.name, sm.name, d.name, dm.name"
"List all methods in the 'Logger' class.","MATCH (c:Class {name:'Logger'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'log' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'log'}) RETURN caller.name"
"What are the fields in the 'LogMessage' class?","MATCH (c:Class {name:'LogMessage'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.log' package.","MATCH (p:Package {name:'com.example.log'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'info' in 'Logger'.","MATCH (c:Class {name:'Logger'})-[:HAS_METHOD]->(m:Method {name:'info'}) RETURN m.signature"
"What methods does 'error' call?","MATCH (m:Method {name:'error'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Loggable' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Loggable'}) RETURN c.name"
"Find all methods that return a 'boolean'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'boolean' RETURN m.name"
"How many files are in the project?","MATCH (f:File) RETURN count(f)"
"Show me all the methods in the 'TaskRunner' class.","MATCH (c:Class {name:'TaskRunner'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'run' method in 'TaskRunner'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name:'run'})<-[:HAS_METHOD]-(:Class {name:'TaskRunner'}) RETURN caller.name"
